run_tag,model,model_label,model_size_b,engine,series_label,gpu_name,workflow_mode,agent,step_count,success_rate,avg_step_latency_ms,p50_step_latency_ms,p95_step_latency_ms,avg_tokens_per_second
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,concurrent,architect,2,1.0,5255.2120592445135,5255.2120592445135,5273.955816961825,129.88781253043265
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,concurrent,coder,2,1.0,5248.670428991318,5248.670428991318,5268.443372100592,126.665882684553
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,concurrent,evaluator,2,1.0,2186.272833496332,2186.272833496332,2372.5059043616056,164.82275148221032
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,concurrent,planner,2,1.0,5764.28740657866,5764.28740657866,6251.834066398442,117.74900406184734
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,concurrent,reviewer,2,1.0,5247.207548469305,5247.207548469305,5263.39766047895,134.85382782216595
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,concurrent,architect,2,1.0,5710.799254477024,5710.799254477024,5735.0643411278725,119.95085759107269
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,concurrent,coder,2,1.0,5719.809690490365,5719.809690490365,5746.577926911414,116.58542329316195
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,concurrent,evaluator,2,1.0,2445.188034325838,2445.188034325838,2586.1546371132135,149.42234715112312
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,concurrent,planner,2,1.0,6786.152262240648,6786.152262240648,7762.213161960244,104.33429601069702
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,concurrent,reviewer,2,1.0,5721.506506204605,5721.506506204605,5748.874301835895,124.54805523282366
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,concurrent,architect,2,1.0,13528.540458530188,13528.540458530188,13560.104415938258,50.709103964177416
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,concurrent,coder,2,1.0,13535.299772396684,13535.299772396684,13571.670662425458,52.806778296717255
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,concurrent,evaluator,2,1.0,3266.9736836105585,3266.9736836105585,3806.3786754384637,61.4406093992879
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,concurrent,planner,2,1.0,14132.713198661804,14132.713198661804,14697.062357142568,47.405430004170015
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,concurrent,reviewer,2,1.0,13524.881638586521,13524.881638586521,13561.915374547243,53.81596933312542
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,concurrent,architect,2,1.0,14044.602449983358,14044.602449983358,14056.338126957417,47.59955480667756
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,concurrent,coder,2,1.0,14053.919062018394,14053.919062018394,14059.35526266694,49.026856121005494
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,vllm,Qwen3 14B / vLLM,A100_80GB,concurrent,evaluator,2,1.0,2655.548881739378,2655.548881739378,2773.072240129113,55.57661234453987
