run_tag,model,model_label,engine,gpu_name,run_type,row_count,success_rate,error_count
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,sglang,A100_80GB,agent_concurrent_detail,10,1.0,0
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,sglang,A100_80GB,agent_concurrent_summary,2,1.0,0
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,sglang,A100_80GB,agent_sequential_detail,10,1.0,0
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,sglang,A100_80GB,agent_sequential_summary,2,1.0,0
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,sglang,A100_80GB,batch,10,1.0,0
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,sglang,A100_80GB,concurrency_detail,100,1.0,0
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,sglang,A100_80GB,concurrency_summary,4,1.0,0
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,sglang,A100_80GB,single_prompt,1,1.0,0
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,vllm,A100_80GB,agent_concurrent_detail,10,1.0,0
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,vllm,A100_80GB,agent_concurrent_summary,2,1.0,0
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,vllm,A100_80GB,agent_sequential_detail,10,1.0,0
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,vllm,A100_80GB,agent_sequential_summary,2,1.0,0
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,vllm,A100_80GB,batch,10,1.0,0
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,vllm,A100_80GB,concurrency_detail,100,1.0,0
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,vllm,A100_80GB,concurrency_summary,4,1.0,0
a100-vllm-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,vllm,A100_80GB,single_prompt,1,1.0,0
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,vllm,A100_80GB,agent_concurrent_detail,10,1.0,0
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,vllm,A100_80GB,agent_concurrent_summary,2,1.0,0
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,vllm,A100_80GB,agent_sequential_detail,10,1.0,0
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,vllm,A100_80GB,agent_sequential_summary,2,1.0,0
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,vllm,A100_80GB,batch,10,1.0,0
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,vllm,A100_80GB,concurrency_detail,100,1.0,0
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,vllm,A100_80GB,concurrency_summary,4,1.0,0
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,vllm,A100_80GB,single_prompt,1,1.0,0
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,sglang,A100_80GB,agent_concurrent_detail,10,1.0,0
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,sglang,A100_80GB,agent_concurrent_summary,2,1.0,0
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,sglang,A100_80GB,agent_sequential_detail,10,1.0,0
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,sglang,A100_80GB,agent_sequential_summary,2,1.0,0
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,sglang,A100_80GB,batch,10,1.0,0
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,sglang,A100_80GB,concurrency_detail,100,1.0,0
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,sglang,A100_80GB,concurrency_summary,4,1.0,0
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,sglang,A100_80GB,single_prompt,1,1.0,0
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,vllm,A100_80GB,agent_concurrent_detail,10,1.0,0
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,vllm,A100_80GB,agent_concurrent_summary,2,1.0,0
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,vllm,A100_80GB,agent_sequential_detail,10,1.0,0
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,vllm,A100_80GB,agent_sequential_summary,2,1.0,0
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,vllm,A100_80GB,batch,10,1.0,0
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,vllm,A100_80GB,concurrency_detail,100,1.0,0
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,vllm,A100_80GB,concurrency_summary,4,1.0,0
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,vllm,A100_80GB,single_prompt,1,1.0,0
