run_tag,model,model_label,model_size_b,engine,series_label,gpu_name,run_type,category,request_count,success_rate,error_count,avg_latency_ms,p50_latency_ms,p95_latency_ms,avg_ttft_ms,avg_tokens_per_second,avg_input_tokens,avg_output_tokens,json_valid_rate,contains_expected_rate
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,agent_concurrent_detail,multi_agent,10,1.0,0,4740.330055356026,5231.802098453045,5842.520560137927,187.04794645309448,134.79585571624185,42.2,618.2,,
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,agent_sequential_detail,multi_agent,10,1.0,0,4507.529359683394,5174.723148345947,5688.8634046539655,144.39461082220078,144.4719708727806,642.0,633.3,,
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,batch,architecture,1,1.0,0,3726.3007648289204,3726.3007648289204,3726.3007648289204,32.26308524608612,124.78863874568343,31.0,465.0,,
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,batch,classification,1,1.0,0,37.65568509697914,37.65568509697914,37.65568509697914,30.035309493541718,26.556414985534897,39.0,1.0,,
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,batch,coding,1,1.0,0,2889.810625463724,2889.810625463724,2889.810625463724,1000.8899047970772,86.85690259019044,27.0,251.0,,
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,batch,debugging,1,1.0,0,3720.446903258562,3720.446903258562,3720.446903258562,28.682641685009003,133.04853230574346,29.0,495.0,,
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,batch,function_calling,2,1.0,0,896.6968413442373,896.6968413442373,1379.8235861584544,458.4574867039919,53.91078939338253,34.0,38.5,1.0,
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,batch,json_extraction,1,1.0,0,1588.9377556741238,1588.9377556741238,1588.9377556741238,1296.5803779661655,17.621835657193948,35.0,28.0,1.0,
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,batch,rag,2,1.0,0,789.9249773472548,789.9249773472548,1312.5119922682643,629.6434588730335,71.80531502553075,51.0,23.5,,0.0
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,batch,summarization,1,1.0,0,485.92517897486687,485.92517897486687,485.92517897486687,29.88540008664131,137.88130950807425,46.0,67.0,,
