model,engine,gpu_name,category,concurrency,count,success_rate,avg_latency_ms,p50_latency_ms,avg_ttft_ms,avg_tokens_per_second,avg_input_tokens,avg_output_tokens,json_valid_rate,contains_expected_rate
Qwen/Qwen3-14B,sglang,A100_80GB,classification,1,3,1.0,58.68263045946757,59.83152240514755,40.07484142978986,17.069217307594002,39.0,1.0,,
Qwen/Qwen3-14B,sglang,A100_80GB,classification,3,5,1.0,108.02541747689247,76.75211876630783,87.45288103818893,10.778357170000145,39.0,1.0,,
Qwen/Qwen3-14B,sglang,A100_80GB,classification,5,8,1.0,92.90547436103225,84.74504388868809,74.14245512336493,11.271691162349061,39.0,1.0,,
Qwen/Qwen3-14B,sglang,A100_80GB,classification,10,17,1.0,102.34319659716942,93.00253167748451,79.03097679509835,10.328994206264689,39.0,1.0,,
Qwen/Qwen3-14B,sglang,A100_80GB,json_extraction,1,4,1.0,1058.472285978496,806.2121104449034,294.6705473586917,29.941491947463597,35.0,28.0,1.0,
Qwen/Qwen3-14B,sglang,A100_80GB,json_extraction,3,5,1.0,1083.0031864345074,817.9326616227627,293.9679652452469,29.864607404399276,35.0,28.0,1.0,
Qwen/Qwen3-14B,sglang,A100_80GB,json_extraction,5,9,1.0,1011.9733144011763,894.0155357122421,200.57876656452814,29.79978620748527,35.0,28.0,1.0,
Qwen/Qwen3-14B,sglang,A100_80GB,json_extraction,10,17,1.0,1019.8915375067908,962.8305695950985,146.36965337045052,28.525707991864593,35.0,28.0,1.0,
Qwen/Qwen3-14B,sglang,A100_80GB,summarization,1,3,1.0,1900.530529518922,1901.18021145463,41.36301949620247,51.564565953346154,46.0,98.0,,
Qwen/Qwen3-14B,sglang,A100_80GB,summarization,3,5,1.0,2019.7614416480064,1981.4858101308346,85.75899973511696,48.6282777448839,46.0,98.0,,
Qwen/Qwen3-14B,sglang,A100_80GB,summarization,5,8,1.0,2095.574911683798,2117.8000792860985,69.52332239598036,46.75320961078364,46.0,97.875,,
Qwen/Qwen3-14B,sglang,A100_80GB,summarization,10,16,1.0,2247.388027375564,2286.18036583066,79.30438220500946,43.71978415309377,46.0,98.0,,
Qwen/Qwen3-14B,vllm,A100_80GB,classification,1,3,1.0,79.14310072859128,79.4789120554924,59.27715947230657,12.638488478468439,39.0,1.0,,
Qwen/Qwen3-14B,vllm,A100_80GB,classification,3,5,1.0,96.4678406715393,81.68713003396988,74.9054417014122,11.092284126597207,39.0,1.0,,
Qwen/Qwen3-14B,vllm,A100_80GB,classification,5,8,1.0,105.75921414420009,78.92054505646229,82.4531577527523,11.004478492508907,39.0,1.0,,
Qwen/Qwen3-14B,vllm,A100_80GB,classification,10,17,1.0,131.86194068368744,107.9556941986084,111.61801701082902,9.056098320696606,39.0,1.0,,
Qwen/Qwen3-14B,vllm,A100_80GB,json_extraction,1,4,1.0,1304.0236625820398,852.0713206380606,520.6918986514211,27.34136202877957,35.0,28.0,1.0,
Qwen/Qwen3-14B,vllm,A100_80GB,json_extraction,3,5,1.0,1280.894324928522,866.487268358469,493.2867392897606,28.054203712657987,35.0,28.0,1.0,
Qwen/Qwen3-14B,vllm,A100_80GB,json_extraction,5,9,1.0,1055.087613562743,853.8560159504414,254.09399345517159,29.984106153958535,35.0,28.0,1.0,
Qwen/Qwen3-14B,vllm,A100_80GB,json_extraction,10,17,1.0,1051.3775940327084,909.42557528615,220.97691849750632,28.718320792864457,35.0,28.0,1.0,
Qwen/Qwen3-14B,vllm,A100_80GB,summarization,1,3,1.0,1968.4838689863682,1964.8195132613182,61.85413027803103,49.78500694426949,46.0,98.0,,
